Wonderful,40,2,1200,8000,30000,1
Wonderful,20,4,1300,9000,32000,2
Wonderful,10,6,1400,10000,34000,2
Marvelous,40,2,1300,9000,32000,2
Marvelous,20,4,1400,10000,34000,2
Marvelous,10,6,1500,11000,36000,2
Spectacular,20,2,1400,10000,34000,4
Spectacular,20,4,1500,10000,34000,1
Spectacular,10,6,1600,10000,34000,2
Fantastic,20,2,1500,10000,34000,2
Fantastic,20,4,1600,10000,34000,2
Fantastic,10,6,1700,10000,34000,2
Fantastic,10,8,1800,10000,34000,2
Fabulous,10,2,1600,10000,34000,2
Fabulous,10,4,1700,10000,34000,2
Fabulous,10,6,1800,10000,34000,2
Fabulous,5,8,1900,10000,34000,2
Wow,5,4,10000,100000,340000,2
Wow,5,6,14000,110000,360000,2
Wow,5,8,16000,120000,380000,2
Wow,5,10,18000,130000,400000,2
